min,d50_mu,d50_mu.1,min_from_start
3.0,55.95933189,55.95933189,868
3.0,60.67320823,60.67320823,869
3.0,61.35862439,61.35862439,870
3.0,60.59755966,60.59755966,871
3.0,58.29067296,58.29067296,872
3.0,62.39109175,62.39109175,873
3.0,60.9174048,60.9174048,874
3.0,57.7595,57.7595,875
3.0,58.41862727,58.41862727,876
3.0,60.38882892,60.38882892,877
3.0,56.58324756,56.58324756,878
3.0,59.23290947,59.23290947,879
3.0,59.72197072,59.72197072,880
3.0,58.73675072,58.73675072,881
3.0,58.27736411,58.27736411,882
3.0,62.05834318,62.05834318,883
3.0,58.5825937,58.5825937,884
3.0,58.3337898,58.3337898,885
3.0,61.76281992,61.76281992,886
3.0,58.65391273,58.65391273,887
3.0,61.27402241,61.27402241,888
3.0,58.98812155,58.98812155,889
3.0,58.45814258,58.45814258,890
3.0,62.6660499,62.6660499,891
3.0,63.21593006,63.21593006,892
3.0,62.90167123,62.90167123,893
3.0,57.50436077,57.50436077,894
3.0,56.85725987,56.85725987,895
3.0,57.18698786,57.18698786,896
3.0,58.63773718,58.63773718,897
3.0,57.11605808,57.11605808,898
3.0,58.81850099,58.81850099,899
3.0,61.2758947,61.2758947,900
3.0,60.75989324,60.75989324,901
3.0,59.74908124,59.74908124,902
3.0,57.50622416,57.50622416,903
3.0,62.49646145,62.49646145,904
3.0,61.77774305,61.77774305,905
3.0,59.95920641,59.95920641,906
3.0,59.0754205,59.0754205,907
3.0,61.60591824,61.60591824,908
3.0,60.79922515,60.79922515,909
3.0,59.95187,59.95187,910
3.0,65.07276511,65.07276511,911
3.0,63.07092521,63.07092521,912
3.0,62.81814211,62.81814211,913
3.0,61.81308928,61.81308928,914
3.0,61.91347369,61.91347369,915
3.0,60.78331324,60.78331324,916
3.0,61.89220068,61.89220068,917
3.0,60.73475633,60.73475633,918
3.0,56.9896944,56.9896944,919
3.0,57.7554587,57.7554587,920
3.0,62.64558147,62.64558147,921
3.0,60.57018639,60.57018639,922
3.0,59.42335067,59.42335067,923
3.0,64.64637921,64.64637921,924
3.0,66.10884467,66.10884467,925
3.0,58.83093887,58.83093887,926
3.0,57.14427881,57.14427881,927
3.0,59.26543119,59.26543119,928
3.0,60.39753146,60.39753146,929
3.0,60.49760168,60.49760168,930
3.0,60.69830138,60.69830138,931
3.0,62.93823893,62.93823893,932
3.0,61.80381367,61.80381367,933
3.0,62.82058996,62.82058996,934
3.0,63.79197187,63.79197187,935
3.0,65.52373227,65.52373227,936
3.0,61.73656606,61.73656606,937
