min,d16_mu,d50_mu,d84_mu,solidity
193,22.31866788,40.94566721,59.91318963,0.885495023
194,21.11006752,33.49365163,52.6764817,0.881892
195,22.04113703,36.56360603,59.37887187,0.876791532
196,21.12593579,32.09246364,52.75517612,0.877778626
197,21.68587236,34.59023299,53.17691622,0.881504785
198,23.0349036,42.27067542,74.04232094,0.880286822
199,23.78419092,37.68984318,56.55748057,0.882208915
200,23.1492608,42.46995513,60.31695124,0.880749606
201,21.73084513,32.55605315,48.43302283,0.873115179
202,20.5124916,33.07051926,42.29900769,0.877509623
203,22.32036291,35.57735256,51.98967363,0.8803392
204,21.33706056,32.82337536,51.08928853,0.875832114
205,22.81000941,37.42752611,62.36273297,0.882624188
206,22.97077015,36.6293384,60.52139728,0.879783399
207,24.46051092,43.14283035,59.0057924,0.878114344
208,23.8201351,39.54622646,63.17008978,0.878121145
209,20.91574201,36.11914598,61.83169134,0.877416194
210,21.72578889,36.50061596,53.77229272,0.874678166
211,23.45472119,42.85624809,67.76208711,0.878486147
212,23.04409387,36.44210191,62.33080391,0.880782427
213,22.21789755,36.32504464,53.89983451,0.880634649
214,20.99025663,35.70477575,60.768205,0.875569038
215,21.04808728,31.8388212,53.03506586,0.877106015
216,26.68144341,42.28126818,60.44829856,0.887636538
217,24.20793428,41.11826798,58.13758937,0.87964186
218,22.39058548,37.98626532,69.7279651,0.879038182
219,23.49755072,46.98664929,70.61472322,0.876186555
220,21.19631678,33.34847473,50.34467868,0.875339608
221,21.37289583,37.50002447,61.60289898,0.881729365
222,22.95958338,42.04115019,56.73726251,0.880584411
223,22.44787366,37.01323269,56.82907652,0.877105118
224,22.99896811,41.27421666,69.72221447,0.87919177
225,21.66484443,32.81019939,49.62782237,0.87705155
226,19.84454624,33.63115648,49.20928562,0.876109057
227,21.8944406,35.16491873,64.10842937,0.87497668
228,21.57047988,33.06479434,56.35701588,0.879437218
229,21.28412028,33.09034703,45.57726342,0.881399216
230,21.53787304,32.29262802,61.16204537,0.886033468
231,21.23778738,34.52570091,52.30108293,0.878825692
232,22.01687338,39.33519555,66.39257391,0.879997266
233,23.82175138,38.87126033,52.89287959,0.883193651
234,21.83784734,35.22425359,57.02976907,0.8757375
235,22.27376768,36.00963507,53.60026242,0.877023077
236,21.17362722,32.43617296,51.35276734,0.875797468
237,21.89670005,37.62338051,51.92365901,0.879403292
238,21.02898289,32.63035578,45.78559691,0.878800851
239,26.3250602,43.97172945,79.55255827,0.882626423
240,20.69174375,30.52749504,43.53865493,0.879592149
241,22.62273656,40.80499334,62.82253975,0.879684151
242,22.47734353,33.34880819,50.0371286,0.878034109
243,22.93910762,34.42902316,51.06497899,0.877144082
244,21.62439886,38.28797069,68.87405857,0.878822174
